,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
30,29,"Block 4003, Block Group 4, Census Tract 3.01, Kings County, New York",399,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003014003,9,-73.99806084228722,40.69415828367735,"(40.69415828367735,-73.99806084228722)",42500778,-73.9983131,40.6937223,POINT (-73.9983131 40.6937223)
31,30,"Block 5002, Block Group 5, Census Tract 3.01, Kings County, New York",58,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015002,2,-73.99645112631514,40.698749874905076,"(40.698749874905076,-73.99645112631514)",42517594,-73.9963273,40.6983645,POINT (-73.9963273 40.6983645)
32,31,"Block 5003, Block Group 5, Census Tract 3.01, Kings County, New York",307,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015003,7,-73.9969478337078,40.697706135204115,"(40.697706135204115,-73.9969478337078)",42517594,-73.9963273,40.6983645,POINT (-73.9963273 40.6983645)
33,32,"Block 5004, Block Group 5, Census Tract 3.01, Kings County, New York",38,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015004,1,-73.99762103650978,40.6960909262649,"(40.6960909262649,-73.99762103650978)",42476712,-73.997078,40.696311,POINT (-73.997078 40.696311)
34,33,"Block 5005, Block Group 5, Census Tract 3.01, Kings County, New York",101,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470003015005,3,-73.9979278878437,40.695433824002436,"(40.695433824002436,-73.9979278878437)",389001587,-73.9982119,40.6951811,POINT (-73.9982119 40.6951811)
35,34,"Block 1000, Block Group 1, Census Tract 5.01, Kings County, New York",1663,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005011000,36,-73.99365666347497,40.69799400660103,"(40.69799400660103,-73.99365666347497)",42517597,-73.99302,40.69746,POINT (-73.99302 40.69746)
36,35,"Block 1001, Block Group 1, Census Tract 5.01, Kings County, New York",886,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005011001,19,-73.99417314070685,40.69692050381276,"(40.69692050381276,-73.99417314070685)",42534054,-73.9942445,40.6967638,POINT (-73.99424449999999 40.6967638)
37,36,"Block 2000, Block Group 2, Census Tract 5.01, Kings County, New York",540,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005012000,12,-73.99484827459074,40.696008402743814,"(40.696008402743814,-73.99484827459074)",42534052,-73.994553,40.6961232,POINT (-73.994553 40.6961232)
38,37,"Block 2001, Block Group 2, Census Tract 5.01, Kings County, New York",511,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005012001,11,-73.99491759415042,40.69534178911971,"(40.69534178911971,-73.99491759415042)",42485640,-73.994301,40.6948001,POINT (-73.99430099999999 40.6948001)
39,38,"Block 3000, Block Group 3, Census Tract 5.01, Kings County, New York",170,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470005013000,4,-73.99523566656805,40.69467400568952,"(40.69467400568952,-73.99523566656805)",42483475,-73.9961704,40.6945502,POINT (-73.9961704 40.6945502)
