,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,geometry,lon,lat
241,"Block 2000, Block Group 2, Census Tract 45, Kings County, New York",234,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045002000,5,POINT (-73.99416909141596 40.68829547217874),-73.99416909141596,40.688295472178744
242,"Block 2001, Block Group 2, Census Tract 45, Kings County, New York",273,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045002001,6,POINT (-73.99610175874228 40.68883196738237),-73.99610175874228,40.68883196738237
243,"Block 2002, Block Group 2, Census Tract 45, Kings County, New York",62,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045002002,2,POINT (-73.99636622900059 40.68835562707928),-73.99636622900059,40.68835562707928
244,"Block 2003, Block Group 2, Census Tract 45, Kings County, New York",196,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045002003,5,POINT (-73.99652992271334 40.68794215761035),-73.99652992271334,40.68794215761035
245,"Block 3000, Block Group 3, Census Tract 45, Kings County, New York",424,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470045003000,9,POINT (-73.9945348382811 40.68753794629231),-73.9945348382811,40.68753794629231
246,"Block 3000, Block Group 3, Census Tract 45, Kings County, New York",424,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045003000,9,POINT (-73.9945348382811 40.68753794629231),-73.9945348382811,40.68753794629231
247,"Block 3001, Block Group 3, Census Tract 45, Kings County, New York",272,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470045003001,6,POINT (-73.99491427464309 40.68675443661957),-73.9949142746431,40.68675443661957
248,"Block 3001, Block Group 3, Census Tract 45, Kings County, New York",272,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045003001,6,POINT (-73.99491427464309 40.68675443661957),-73.9949142746431,40.68675443661957
249,"Block 4000, Block Group 4, Census Tract 45, Kings County, New York",352,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045004000,8,POINT (-73.99680165406299 40.68737793093445),-73.99680165406299,40.687377930934446
250,"Block 4001, Block Group 4, Census Tract 45, Kings County, New York",105,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045004001,3,POINT (-73.99715065781979 40.68679104247358),-73.99715065781979,40.68679104247358
251,"Block 4002, Block Group 4, Census Tract 45, Kings County, New York",74,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045004002,2,POINT (-73.99668202113526 40.68632739157433),-73.99668202113526,40.68632739157433
252,"Block 4003, Block Group 4, Census Tract 45, Kings County, New York",186,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045004003,4,POINT (-73.9946423604456 40.68610484628712),-73.9946423604456,40.68610484628712
253,"Block 4004, Block Group 4, Census Tract 45, Kings County, New York",105,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470045004004,3,POINT (-73.99514077111183 40.68584942414815),-73.99514077111183,40.685849424148145
254,"Block 1000, Block Group 1, Census Tract 47, Kings County, New York",17,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470047001000,1,POINT (-73.99841596513278 40.69039423253503),-73.99841596513278,40.690394232535034
255,"Block 1000, Block Group 1, Census Tract 47, Kings County, New York",17,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470047001000,1,POINT (-73.99841596513278 40.69039423253503),-73.99841596513278,40.690394232535034
256,"Block 1003, Block Group 1, Census Tract 47, Kings County, New York",15,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470047001003,1,POINT (-74.00209906201944 40.68933813269305),-74.00209906201944,40.68933813269305
